Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
6.0,479.0,18.95,397.95,1,Sukses (Delivered)
11.0,928.0,36.19,760.03,1,Sukses (Delivered)
6.0,599.0,24.95,523.95,1,Sukses (Delivered)
7.0,599.0,24.95,523.95,1,Sukses (Delivered)
1.0,479.0,23.95,502.95,1,Sukses (Delivered)
9.0,620.0,15.5,325.5,1,Sukses (Delivered)
6.0,718.0,31.25,656.25,1,Sukses (Delivered)
3.0,1058.0,47.9,1005.9,1,Sukses (Delivered)
3.0,239.0,7.0,147.0,1,Sukses (Delivered)
6.0,1007.0,42.5,892.5,1,Sukses (Delivered)
2.0,637.0,31.85,668.85,1,Sukses (Delivered)
9.0,708.0,30.75,645.75,1,Sukses (Delivered)
3.0,399.0,19.95,418.95,1,Sukses (Delivered)
1.0,649.0,32.45,681.45,1,Sukses (Delivered)
7.0,916.0,45.8,961.8,1,Sukses (Delivered)
11.0,599.0,25.3,531.3,1,Sukses (Delivered)
12.0,1377.0,59.56,1250.66,1,Sukses (Delivered)
2.0,1019.0,50.95,1069.95,1,Sukses (Delivered)
4.0,450.24,17.51,367.75,1,Sukses (Delivered)
5.0,310.0,11.5,241.5,1,Sukses (Delivered)
2.0,579.0,28.95,607.95,1,Sukses (Delivered)
7.0,435.0,17.75,372.75,1,Sukses (Delivered)
3.0,476.2,23.81,500.01,1,Sukses (Delivered)
10.0,799.0,29.95,628.95,1,Sukses (Delivered)
7.0,916.0,35.8,751.8,1,Sukses (Delivered)
2.0,635.0,31.75,666.75,1,Sukses (Delivered)
1.0,635.0,27.75,582.75,1,Sukses (Delivered)
12.0,769.0,38.45,807.45,1,Sukses (Delivered)
1.0,620.0,15.5,325.5,1,Sukses (Delivered)
3.0,807.0,35.7,749.7,1,Sukses (Delivered)
1.0,199.0,5.0,105.0,1,Sukses (Delivered)
1.0,599.0,24.95,523.95,1,Sukses (Delivered)
2.0,499.0,24.95,523.95,1,Sukses (Delivered)
3.0,1334.0,33.35,700.35,1,Sukses (Delivered)
3.0,585.0,25.25,530.25,1,Sukses (Delivered)
1.0,310.0,10.5,220.5,1,Sukses (Delivered)
1.0,310.0,11.5,241.5,1,Sukses (Delivered)
3.0,657.0,32.85,689.85,1,Sukses (Delivered)
9.0,799.0,34.95,654.05,1,Sukses (Delivered)
4.0,948.0,30.68,644.18,1,Sukses (Delivered)
1.0,579.0,28.95,607.95,1,Sukses (Delivered)
3.0,538.0,21.9,459.9,1,Sukses (Delivered)
2.0,1066.0,26.65,559.65,1,Sukses (Delivered)
8.0,1039.0,51.95,1090.95,1,Sukses (Delivered)
8.0,599.0,24.95,523.95,1,Sukses (Delivered)
3.0,459.0,17.95,376.95,1,Sukses (Delivered)
7.0,635.0,16.25,341.25,1,Sukses (Delivered)
8.0,888.0,38.41,806.53,1,Sukses (Delivered)
2.0,435.0,17.8,373.8,1,Sukses (Delivered)
2.0,850.0,36.76,772.01,1,Sukses (Delivered)
2.0,1955.0,97.75,2052.75,1,Sukses (Delivered)
2.0,2355.0,117.75,2472.75,0,Gagal (Cancelled/Missed)
1.0,325.0,16.25,341.25,1,Sukses (Delivered)
2.0,715.0,25.75,540.75,1,Sukses (Delivered)
5.0,609.0,24.45,513.45,1,Sukses (Delivered)
5.0,616.0,26.3,552.3,1,Sukses (Delivered)
2.0,310.0,10.5,220.5,1,Sukses (Delivered)
1.0,649.0,16.23,340.73,1,Sukses (Delivered)
6.0,579.0,23.95,502.95,1,Sukses (Delivered)
3.0,937.0,36.85,773.85,1,Sukses (Delivered)
5.0,609.0,30.45,639.45,1,Sukses (Delivered)
6.0,599.0,23.95,502.95,1,Sukses (Delivered)
9.0,695.0,30.06,631.23,1,Sukses (Delivered)
5.0,645.0,16.13,338.63,1,Sukses (Delivered)
4.0,459.0,22.95,481.95,1,Sukses (Delivered)
2.0,579.0,28.95,607.95,1,Sukses (Delivered)
2.0,310.0,15.5,325.5,1,Sukses (Delivered)
6.0,489.0,24.45,513.45,1,Sukses (Delivered)
